PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Fremont,Jamber Acres,1639 23rd Trail,,Cotopaxi,CO,81223,(973) 207-1796,Yes,jamberacres@gmail.com,JamberAcres.com,facebook.com/jamberacres,instagram.com/jamberacres,,January|February|March|April|May|June|July|August|September|October|November|December,5|6,,,,,9:00 AM to 1:00 PM,9:00 AM to 1:00 PM,,Greenhouse,Tours,,No,Yes,Yes,,Beets|Bell Peppers|Chile Peppers|Cucumbers|Carrots,Eggplant|Green Beans|Herbs|Kale|Lettuce,Peas|Radishes|Spinach|Squash|Tomatoes|Zucchini,"rainbow swiss chard, escarole",,,,,,,,"You can also find our veggies year-round at Sunflower Natural Foods on Main Street in Westcliffe. Tours welcomed by appointment only. Proud to be Certified Naturally Grown. To learn more about CNG certification, visit naturallygrown.org.",,,38.29454100000001,-105.495975
,Fremont,Burley Bees,1381 Illinois Ave,,Canon City,CO,81212-8635,,Yes,burleybees719@gmail.com,www.burleybeeshoney.com,,,,January|February|April|March|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,Apples,,,,,,,,Honey,,,"Honey, Honey bees, ",,by appointment only,38.480886,-105.2491545
,Larimer,Mountain View Meats,5202 North County Rd 19,,Fort Collins,CO,80524,(970) 829-7846,No,hello@mvmeatsfc.com,www.MVmeatsFC.com,www.facebook.com/MVmeatsFC,www.instagram.com/MVmeatsFC,,December|November|October|September|August|July|June|May|April|March|January|February,1|3|5,1pm - 5pm,,1pm - 5pm,,1pm - 5pm,,,On-Farm/Ranch sales,,,No,Yes,Yes,,,,,,Pork|Beef,,,,Eggs,,,"Colorado beef, pork, eggs. Mountain View Meats is a multi generational, family-owned ranch and feed yard raising award-winning grain/grass-finished beef. We sell whole/half beef and pork (custom cutting instructions available), bundles online, and individual cuts in-store. Pickup, local delivery, and shipping offered.",,,40.7627616270781,-105.11783906606465
,Weld,"Monroe Family Farm, LLC ",25525 County Road 48,,KERSEY,CO,80644,(970) 284-7941,Yes,jacquie@monroefarm.com,www.monroefarm.com,www.facebook.com/monroeorganicfarm/,www.instagram.com/monroefarmilyfarms/,,June|July|August|September|October|November|December,1|2|3|4|5,7am - 4pm,7am - 4pm,7am - 4pm,7am - 4pm,7am-4pm,,,CSA Farm|Greenhouse,,,No,No,No,,Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork,,,,Eggs|Honey|Popcorn,,Olive Oil,Please see last years listing,,,40.336479,-104.57379
,Boulder,Rocky Mountain Pumpkin Ranch,9059 Ute Hwy,,Longmont,CO,80503,(303) 684-0087,Yes,ADMIN@RMPR.Farm,https://rockymtnpumpkinranch.com/,https://www.facebook.com/people/Rocky-Mountain-Pumpkin-Ranch/100068724774710/#,https://www.instagram.com/rockymountainpumpkinranch/,,May|June|July|August|September|October|November,1|2|3|4|5|6|7|8,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,9 a.m. - 6 p.m.,Agritourism|Garden Center|On-Farm/Ranch sales|Roadside Market,Pumpkin Patch|Tours,"Farmstand, Kids Playspace",Yes,No,Yes,"USDA Harmonized Gap +, CDA Certified Organic",Apples|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Chile Peppers|Chile - Roasted|Cucumbers,Herbs|Kale|Leeks|Lettuce|Peaches|Pears,Potatoes|Pumpkins|Radishes|Spinach|Squash|Sweet Corn|Watermelon|Zucchini|Turnips,,Beef|Lamb|Pork|Sausage,,,,Baked Goods|Cheese|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices|Handcrafted Gifts,,"On-Farm roadside market: Certified Organic Winter Squash
and Pumpkins, Gourds, Corn Stalks, Straw bales.  Colorado 
Cider, juices, Western slope jams, syrups, butters, 
as well as salsas, preserves, pumpkin bread & local honey.  
Weekend Fall Festival: pony rides, petting zoo, kiddie carnival 
rides",,10a.m. - 4p.m.,40.20334644294589,-105.14187551473275
,El Paso,Our Red Barn Ranch LLC,11494 N. Calhan Hwy.,,Calhan,CO,80808,(719) 339-5229,Yes,Betty@ourredbarnranch.com,Ourredbarnranch.com,,,,January|February|March|April|May|June|July|August|September|October|November|December,8|1|2|3|4|5|6|7,10am-4pm,10am-4pm,10am-4pm,10am-4pm,10am-4pm,10am-4pm,10am-4pm,Agritourism|Greenhouse|On-Farm/Ranch sales,Event Facilities|Farm or Ranch Vacations|Horseback Riding|Tours,,No,No,Yes,,Bell Peppers|Carrots|Chile Peppers|Cucumbers,Green Beans|Lettuce|Okra|Onions,Peas|Potatoes|Radishes|Rhubarb|Spinach|Squash|Strawberries|Tomatoes|Zucchini,,,,,,Eggs|Cheese,,,"Our Red Barn Ranch is on 40 acres of rolling prairie. We are located 2 miles south of the town of Calhan, northeast of Colorado Springs. We are about two miles from The Paint Mine Interpretive Park. We also raise Colorado Mountain Dogs. They have full reign of the property, so please leave your pets at home.",,10am-4pm,38.997387,-104.2949835
,Denver,Sprout City Farms,6700 E. Virginia Ave.,,Denver,CO,80224,(720) 239-2714,No,info@sproutcityfarms.org,www.sproutcityfarms.org,www.facebook.com/sproutcityfarms,www.instagram.com/sproutcityfarms,,March|April|May|June|July|August|September|October|November,1|2|3|4|5,9-3,9-3,9-3,9-3,9-1,,,Agritourism|CSA Farm|Roadside Market|Sell to Schools,Tours,,No,Yes,Yes,Practicing organic and regenerative but not certified,Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Chile Peppers|Cucumbers|Apples,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Mushrooms|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes|Turnips|Zucchini|Watermelon,,,,,,Baked Goods|Eggs|Honey,,,"Sprout City Farms is an urban agriculture nonprofit (founded 2010) with 2 community farms in Denver & Lakewood. Half of our harvest is dedicated to food access programs for low-income families. Educational/community programs include Intern/Apprenticeships, Volunteer Days, Workshops, Tours, Events, and more--see our website!",,,39.70663200000001,-104.9090265
,Boulder,Cottonwood Farm ,10600 Isabelle Rd.,,Lafayette,CO,80026,(720) 890-4766,No,bob@cottonwoodfarms.com,cottonwoodfarms.com,,,,October|November|December,8,,,,,,,,Agritourism,Christmas Trees|Corn Maze|Hayrides|Pumpkin Patch|Tours,,No,No,Yes,,,,Pumpkins|Squash,,,,,,,,,"Fall activities include pumpkin patch, corn maze, wagon rides, games, photo opportunities.
We generally appeal to younger families
Christmas tree lot opens day after Thanksgiving",,Fall 10 am to 6 pm        Trees 11am to 7 pm,40.036543025881016,-105.10431479825175
,Otero,KNAPP FARMS LLC,29742 STATE HIGHWAY 71,,"Rocky Ford, CO",CO,81067,(719) 254-6265,,knappsfarmmarket@gmail.com,knappsfarmmarket.com,Knapp's Farm Market,Knapps Farm Market,,July|August|September|October,1|2|3|4|5|6|7|8,8am-6pm,8am-6pm,8am-6pm,8am-6pm,8am-6pm,8am-6pm,8am-6pm,Roadside Market|CSA Farm|On-Farm/Ranch sales|Sell to Schools,,,No,Yes,Yes,,Asparagus|Beets|Bell Peppers|Cantaloupe|Apples|Apricots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Pears|Peaches|Onions|Okra|Honeydew|Green Beans|Grapes|Garlic|Eggplant,Pinto Beans|Plums|Potatoes|Pumpkins|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Beef,,,,Eggs|Popcorn,,,"Knapp's Farm Market is a family owned and operated farm market in Rocky Ford, CO. We sell produce grown on our own farm as well as other produce grown locally in the state of Colorado. We take pride in having top quality produce and customer service. ",,8am-6pm,38.064880695746346,-103.74762154224243
,Arapahoe,DeLaney Community Farm - by Project Worthmore,170 S Chambers Rd,,Aurora,CO,80017,(720) 460-1393,,ashley@projectworthmore.org,https://projectworthmore.org/programs/delaney-community-farm/,www.facebook.com/projectworthmore,www.instagram.com/projectworthmore,,April|May|June|July|August|September|October,1|2|3|4|5,9am-3pm,9am-3pm,9am-3pm,9am-3pm,9am-3pm,,,CSA Farm|Restaurant,,,No,No,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Tomatoes|Turnips|Zucchini,,,,,,Eggs,,,"DeLaney Community Farm is a 5-acre farm managed by nonprofit Project Worthmore supporting refugees through sustainable agriculture and community building. Our goal is to provide the space, support, resources, and expertise for refugees to grow healthy, organically-produced food for themselves and their broader community.
",,,39.71508162133474,-104.8097142745858
,Las Animas,Earth Mountain Education Farm,17613 CR. 31.9 ,,Weston,CO,81091,(719) 680-0215,No,earthmountainfarm@gmail.com,www.earthmountainfarm.org,facebook.com/earthmountain,,,April|May|June|July|August|September|October|November,2|3|4|5|6,,9a.m.-7p.m.,9a.m.-7p.m.,9a.m.-7p.m.,9a.m.-7p.m.,9a.m.-7p.m.,,Agritourism|Community Gardens|CSA Farm|On-Farm/Ranch sales|Roadside Market|U-pick,Event Facilities|Farm or Ranch Vacations|Tours,Family camping on the farm/ retreats/food farming training programs,No,No,Yes,,Beets|Asparagus|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Celery|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Grapes|Herbs|Kale|Lettuce|Onions,Peas|Pumpkins|Radishes|Raspberries|Spinach|Squash|Rhubarb|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,,,,,Baked Goods|Eggs|Honey|Jams|Pickles,Handcrafted Gifts,,"Trinidad Community Garden( N. Linden and White Ave, Trinidad) CSA, community garden plots
Cedar Street Discovery Park(134W. Cedar St, Trinidad) food access park, farm stand(Weds.4-7)",,,37.24503300000001,-104.9523075
,Douglas,Sandy's Way Microfarm,3833 BEAR CANYON CIR,,SEDALIA,CO,80135,(720) 722-3633,Yes,,sandyswayfarm.com,https://www.facebook.com/SandysWayCSA,https://www.instagram.com/sandyswaymicrofarm/,,May|June|July|August|September|October|November,5|6,,,,,CALL,Call,,CSA Farm|Greenhouse|On-Farm/Ranch sales,Tours,,No,No,No,Certified Naturally Grown,Apples|Apricots|Beets|Bell Peppers|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Green Beans|Herbs|Kale|Lettuce|Microgreens|Onions|Peaches|Pears,Peas|Radishes|Spinach|Squash|Tomatoes|Turnips|Zucchini,,Beef|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey,,,"Sandy's Way Microfarm grows Certified Naturally Grown vegetables in Sedalia, Colorado. We offer seasonal produce (May-November) plus local beef, eggs, artisan bread, cheese, and Palisade fruit through our Community Harvest Hub. Enjoy free delivery, 7 pickup locations, and Harvest Membership benefits with 10% discounts.",,,39.357215999999994,-104.957262
,Delta,The Arbol Farmers Market,708 4th St,,Paonia,CO,81428,(970) 433-5852,No,arbolfarmersmarket@thelearningcouncil.org,thelearningcouncil.org,,arbolfarmersmarket,,May|June|July|August|September|October,2,,5 - 7:30PM,,,,,,Agritourism|Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Beets|Cabbage|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers|Celery|Broccoli|Bell Peppers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Onions|Peaches|Pears|Nectarines,Peas|Potatoes|Pumpkins|Radishes|Tomatoes|Turnips|Squash|Sweet Corn|Zucchini,,Beef,,,,Baked Goods|Cheese|Eggs|Honey|Pickles|Jellies|Jams|Popcorn,Handcrafted Gifts,"Willow Baskets, herbal products, local art","From Highway 133, follow the signs to Downtown
Paonia. From the intersection of Grand Avenue
and 4th St., follow 4th street down to Town Park.",,,38.871036000000004,-107.591742
,Mesa,Kokopelli Farm Market,860 Rapid Creek Rd,,Palisade,CO,81526,(970) 464-4991,,,www.kokopelliproduce.com,,,,June|July|August|September|October,8,,,,,,,,,,,Yes,No,Yes,Colorado Department of Agriculture,Apples|Apricots|Bell Peppers|Cantaloupe|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Onions|Peaches|Pears,Peas|Pinto Beans|Pumpkins|Strawberries|Sweet Corn|Tomatoes|Watermelon|Zucchini|Squash,,Beef|Jerky|Pork|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,,,,,8 a.m. - 5 p.m.,39.129065999999995,-108.3239775
,Pueblo,Pueblo Farmers Market,1604 N Santa Fe Ave,,Pueblo,CO,81001,(719) 778-6041,No,pueblofarmersmarket@gmail.com,pueblofarmersmarket.org,https://www.facebook.com/PuebloFarmerMarket,https://www.instagram.com/pueblofarmersmarket,,May|June|July|August|September|October,6,,,,,,"7:30am - Noon, except for select Eastside Pop-ups",,Farmers' Market,,"Family activities, misting tent, art",No,Yes,Yes,,Apples|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Cauliflower|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Lettuce|Microgreens|Mushrooms|Okra|Onions|Peaches|Pears,Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Beef|Lamb|Pork|Poultry,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Juices|Handcrafted Gifts,,"We gladly accept SNAP, Double Up, CO SNAP Produce Bonus and PowerUp Protein",,,38.28128944458684,-104.60723501749888
,Boulder,Growing Gardens,1630 Hawthorn Avenue,,Boulder,CO,80304,(303) 443-9952,Yes,info@growinggardens.org,https://growinggardens.org/,@growinggardensboulder,@growinggardensboulder,,May|June|July|August|September|October|November,3,,,Boulder - 3:30 p.m. - 6:30 p.m.,,,,,Community Gardens|CSA Farm|Greenhouse,Event Facilities|Tours,,No,Yes,Yes,,Apples|Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Cauliflower|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Mushrooms|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Squash|Sweet Corn|Tomatoes|Turnips|Zucchini,,Beef|Lamb|Pork,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles,,,Growing Gardensâ€™ mission is to enrich the lives of our community through regenerative urban agriculture. Growing Gardens practices regenerative agriculture to ensure the long term viability of our land and water resources to feed future generations. ,,,40.034745000000015,-105.2764335
,Boulder,Growing Gardens,950 Lashely Street,,Longmont,CO,80504,(303) 443-9952,Yes,,https://growinggardens.org/,@growinggardensboulder,@growinggardensboulder,,July|August|October|September,3,,,Longmont - 4:00 p.m. - 6:00 p.m.,,,,,,,"Farm Stand, Work Trade Program, Cultiva Youth Program",No,Yes,Yes,,Beets|Bell Peppers|Broccoli|Cabbage|Carrots|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Onions,Peas|Potatoes|Radishes|Squash|Tomatoes|Turnips|Zucchini,,,,,,,,,Growing Gardensâ€™ mission is to enrich the lives of our community through regenerative urban agriculture. Growing Gardens practices regenerative agriculture to ensure the long term viability of our land and water resources to feed future generations. ,,,40.174965000000014,-105.0873885
,Montezuma,Chinampas,16105 County Road 18,,Cortez,CO,81321,(970) 317-0774,Yes,seth@chinampas.org,https://www.chinampas.org,https://www.facebook.com/ChinampasCO,https://www.instagram.com/chinampasco/,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Greenhouse,,,No,No,No,,Chile Peppers,Mushrooms|Lettuce,Tomatoes,,,,"Tilapia, Blue Gill, Depends on what we are powering our system with at the time",,,,,"Chinampas is a Southwest Colorado farm focused on growing fresh, high-quality mushrooms year-round. We pair mushroom cultivation with aquaponics to produce clean, nutrient-dense food using minimal waste. Our goal is to strengthen the local food system with reliable, sustainably grown products.",,Local Deliveries from 9 am - 5 pm,37.443312000000006,-108.7195275
,Boulder,Switch Gears Farm,13850 N 87th Street,,Longmont,CO,80503,(720) 442-0731,Yes,yourfarmer@switchgearsfarm.com,https://www.switchgearsfarm.com,,https://www.instagram.com/switchgearsfarm,,May|June|July|August|September|October|November|April,6|7,,,,,,8AM - 1PM (City Park Farmers Market),9AM - 1PM (Lafayette Farmers Market),CSA Farm,,,No,Yes,No,,Cucumbers|Chile Peppers|Cauliflower|Celery|Carrots|Cabbage|Brussels Sprouts|Bell Peppers|Beets|Broccoli,Eggplant|Garlic|Green Beans|Herbs|Kale|Leeks|Lettuce|Okra|Onions,Peas|Potatoes|Pumpkins|Radishes|Spinach|Squash|Strawberries|Tomatoes|Turnips|Zucchini,,,,,,,,,"Switch Gears Farm is a small-scale farm, primarily focused on high-quality produce and soil health - we do not use pesticides or synthetic fertilizers. You can find us at farmers markets or send an email - we do not have a farmstand at the farm. We also sell to chefs, small retailers, non-profits, and schools.",,,40.225787999999994,-105.1447995
,Alamosa,Rio Grande Organic Growers COOP,6935 CO HWY 17,,Alamosa ,CO,81101,(720) 237-8319,Yes,riograndeorganicgrowers@gmail.com,www.riograndegrowers.com,https://www.facebook.com/RioGrandeOrganicGrowersCoop,,,June|July|August|September,3,,,3pm-7pm,,,,,Community Gardens|CSA Farm|Greenhouse|On-Farm/Ranch sales|U-pick,Tours,,No,Yes,Yes,,Beets|Cabbage|Carrots|Cucumbers,Garlic|Herbs|Kale|Lettuce|Onions,Peas|Pinto Beans|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Tomatoes,,,,,,,,,"The Rio Grande Growers are a farmer cooperative that cultivates about 5 acres located at the Rio Grande Farm Park in Alamosa, CO.  We do not use any pesticides or chemicals on our plants, only natural organic compost and weed by hand in small acre plots. From July to September we sell fresh produce and herbs to markets. ",,,37.475037,-105.857676
,Arapahoe,Tuff's Ranch ,5055 S COUNTY ROAD 137,,Bennett,CO,80102,(720) 263-2279,Yes,tuffsranch@gmail.com,www.TuffsRanch.com,www.facebook.com/TuffsRanch,https://www.instagram.com/TuffsRanchco,,July|June|May|August|September,8,,,,,,,,Agritourism|On-Farm/Ranch sales,Tours|Farm or Ranch Vacations|Fishing,Animal Rescue,No,No,No,,,,,,Beef,,,,,,,A familyâ€‘run working ranch and animal rescue offering quiet RV stays and authentic Western charm on the plains of eastern Colorado.,,8 am - 8 pm,39.62369699999999,-104.4189945
81526,Mesa,Lavender Association of Colorado,PO Box 582,,Palisade,CO,81526,,,info@coloradolavender.org,www.ColoradoLavender.org,www.facebook.com/ColoradoLavender,www.instagram.com/ColoradoLavender,,June,5|6|7,,,,,9 a.m. - 4 p.m.,9 a.m. - 4 p.m. and 6 p.m.- 10 p.m.,10 a.m. - 4 p.m.,Agritourism,,Lavender Festival,No,No,Yes,,,Herbs,,Lavender,,,,,,Handcrafted Gifts,,Please see email.,,,39.10460150000006,-108.36254049999997
,Boulder,Louisville Farmers Market ,824 Front Street,,Louisville,CO,80027-1015,(303) 902-2451,Yes,kellyenterprisesltd@gmail.com,realfarmersmarketco.com ,https://www.facebook.com/LouisvilleFarmersMarket/,realfarmersmarket,,May|June|July|August|September|October,6,,,,,,9am - 1pm ,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Buffalo|Jerky|Pork|Sausage,,"Alaskan Salmon, Crab and Cod ",,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Juices|Handcrafted Gifts,,"Weekly farmers market featuring Colorado-grown fruits, vegetables, eggs, and meat. Live music, dog friendly and plenty of ready to consume breakfast and lunch offerings. ",,,39.97841016900003,-105.13075826899995
,Chaffee,Salida Farmers Market,404 E Street,,Salida,CO,81201,(719) 207-5787,No,info@foodshedalliance.com,foodshedalliance.com,Foodshed Alliance,salida_farmers_market,,June|July|August|September|October,6,,,,,,8 am - 12 pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Pears|Peaches,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Jerky|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider|Juices|Christmas Trees|Handcrafted Gifts,,"Salidaâ€™s Farmers Market takes place at Alpine Park, a centrally located 2-acre park adjacent to Salidaâ€™s vibrant downtown. Filled with grass and trees, Alpine Park provides an easy and ideal retreat. This community-focused event invites you to fill your basket with fresh local food and connect with the community!",,,38.53305197700007,-105.99330412699999
,Gunnison,Gunnison Farmers Market ,Main and Virginia ,,Gunnison ,CO,81230,(970) 648-0580,No,gunnyfarmersmarket@gmail.com,www.gunnisonfarmersmarket.org ,Gunnison Farmers Market ,gunnisonfarmersmarket ,,June|July|August|September|October,6,,,,,,9:30 a.m. - 1 p.m. ,,Farmers' Market,,,No,Yes,Yes,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Carrots|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Grapes|Herbs|Kale|Honeydew|Leeks|Lettuce|Microgreens|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Zucchini,,Pork|Poultry|Sausage|Beef,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Handcrafted Gifts,Rum ,"Seasonal farmers market in downtown Gunnison featuring an array of produce, meats, alcoholic and non alcoholic beverages, fresh baked goods including sourdough bread, jewelry, photography, clothing, and other artisan goods. Live music in IOOF Park. ",Local wine,,38.54550198600003,-106.92689802799998
81611,Pitkin,The Farm Collaborative,200 Agricultural Way,,Aspen,CO,81611,(970) 900-3276,,liz@farmco.org,farmco.org,,@thefarmcollaborative,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales|Greenhouse|Agritourism,Event Facilities|Tours,,No,Yes,Yes,,Carrots|Beets|Chile Peppers|Brussels Sprouts|Cabbage,Garlic|Herbs|Kale|Microgreens|Onions|Mushrooms|Lettuce|Leeks,Radishes|Tomatoes|Turnips|Spinach,Figs,Beef|Jerky|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles,Cider|Juices|Handcrafted Gifts,,"The Farm Co Market at the Farm Collaborative features regenerative produce sourced within 100 miles, complemented by our booth at the Aspen Farmers Market. Beyond retail, we empower our community through farmer training, tours, and the 2Forks Club, which provides critical 0% interest loans to local producers.",,10 a.m. - 6:00 p.m.,39.19754720000003,-106.83523289999994
80654,Morgan,Antelope Creek Ranch Wagyu,Online Sales Only,,Wiggins,CO,80654,(720) 318-9921,Yes,antelopecreekranch@yahoo.com,www.antelopecreekranchwagyu.com,www.facebook.com/antelopecreekranchwagyu,www.instagram.com/antelopecreekranchwagyu,,December|November|October|September|August|July|June|May|April|February|March|January,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,,,,,Beef|Jerky|Sausage,,,,,,Skin Care Wagyu Beef Tallow,"Antelope Creek Ranch Wagyu is a small family-owned Wagyu Beef Ranch in Wiggins, Colorado, specializing in Full-Blood Japanese Wagyu Genetics.",,8:00 AM - 5:00 PM,40.16788420000006,-104.05642849999998
,Alamosa,Alamosa Farmers' Market,Corner of 6th and Ross,,Alamosa,CO,81101,(719) 849-1083,No,alamosafarmersmarket@gmail.com,https://www.alamosafarmersmarket.org/,https://www.facebook.com/alamosafarmersmarket,alamosa_farmers_market,,July|August|September|October,6,,,,,,8 am - 1:30 pm,,Farmers' Market,,,No,Yes,No,,Apples|Apricots|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Cauliflower|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Kale|Lettuce|Mushrooms|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Buffalo|Jerky|Lamb,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies,Handcrafted Gifts,,"The Alamosa Farmers' Market is the San Luis Valley's largest and oldest market.  A Downtown community event on Saturdays from July through October we offer local foods, hand crafted goods, live music, activities for kids, and community engagement opportunities.  An affordable market with Valley flavor.",,,37.46711599500003,-105.87013198299996
81435,San Miguel,Market on the Plaza,Heritage Plaza,,Mountain Village,CO,81435,(970) 369-8606,No,marketontheplaza@mtnvillage.org,www.marketontheplaza.com,www.facebook.com/townofmountainvillage,@townofmountainvillage,,June|July|August|September,3,,,11 a.m. - 4 p.m.,,,,,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Cherries|Cucumbers,Green Beans|Herbs|Kale|Lettuce|Microgreens|Nectarines|Onions|Peaches|Eggplant|Garlic,Pumpkins|Potatoes|Radishes|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Popcorn|Pickles,Cider|Juices|Handcrafted Gifts,,"June 10 - September 9, 2026
Located in the heart of Mountain Village
Free family friendly entertainment daily",Free Wine Tastings,,37.936061100000074,-107.84798519999998
